HIIREGID,RA,DEC,EWHa6562,fluxHb4861,e_fluxHb4861,fluxOIII5006,e_fluxOIII5006,fluxHa6562,e_fluxHa6562,fluxNII6583,e_fluxNII6583,fluxSII6716,e_fluxSII6716,fluxSII6730,e_fluxSII6730
NGC0309-81,14.183385534974,-9.91132780070596,15.001228070599923,5.297759781614493,0.2980942687674211,1.501784009363584,0.3195309281783633,20.135556820567288,0.2143684851556201,7.170933011453824,0.2293124915298511,0.7963773792012707,0.3372478318960255,0.8514900009344244,0.2677687547103777
NGC0309-82,14.176807522692416,-9.916327457753972,11.019038839890571,5.388832607487238,0.6179584452381899,0.8047245389826727,0.2160763540632184,17.23582902996067,0.1834360086772635,4.900757674651536,0.2035955778500478,1.073184229495658,0.2002020897349809,-0.2502331118848754,0.1833969091117178
NGC0309-83,14.174858372545804,-9.911957523733436,8.397497561877003,3.0244859498480987,0.2262213649968776,1.3010205236523311,0.2464456478738911,15.527763894458555,0.1810237210356526,5.397653974293855,0.2114712760346651,1.0529377311199286,0.2800587552962953,0.91234391744105,0.2787644716699978
NGC0309-84,14.166049928010764,-9.91600342821805,45.7354638887154,1.4411405346099206,0.1347768044224413,0.7206334301566569,0.1391601425591101,5.515383202536743,0.0753928143927599,1.5523611738686935,0.0863961351690773,1.1088924629222978,0.1303161267829926,1.069852626907446,0.3794397573812303
NGC0309-85,14.17945017987085,-9.911006334904522,12.082807032308486,3.665412665956141,0.2306890550694127,0.5835506206766145,0.2874568576857891,13.68470171654758,0.1862910999868069,4.305905827499753,0.2058519951249589,0.5228207330081355,0.2112181549079945,-1.4795073044281506,0.8200403200551162
NGC0309-86,14.165184810226206,-9.914511622580736,20.57889615923282,1.152651169278928,0.1274915049106565,0.3225304754872263,0.1914952031107553,5.102201591967779,0.1090587130811598,1.3131988409700277,0.1227109298246728,0.831625626672359,0.1864857707285241,1.1943722347151602,0.2092602531250784
NGC0309-87,14.173979801744542,-9.91640846801636,11.253596337266483,4.123282732113417,0.6162177179582439,0.9016716884796668,0.2677595183538815,16.28115890652089,0.214069218084739,7.332493973474087,0.1959425758304746,2.5655062285376773,0.2004236565241997,1.323709135179389,0.2673288588677727
NGC0309-88,14.171532630443552,-9.906066367606202,24.65391881398823,7.5525726236652915,0.329320927891847,3.193261972565984,0.2793790585684611,24.84909279307169,0.2577243065648746,9.142367683697705,0.2625257554720209,2.490202488546348,0.2888938602893443,4.207608579937449,0.2874070145559756
NGC0309-89,14.1723551771793,-9.918673986257533,30.233222234828844,3.677660523769093,0.2569053515661775,1.987558960193787,0.307040800040431,20.850693010557176,0.2200934218087833,7.917541974978521,0.2272762467600235,0.1533182230421091,0.2540834163041559,2.496663912333741,0.2875273562304144
NGC0309-90,14.170155994626166,-9.920412748220729,37.67455936917378,4.044295666149813,0.3040099555596929,0.9980978541340636,0.2566073579700162,16.67138266024135,0.1996472738183177,6.19022457832576,0.2053686203524168,0.6470024791300565,0.2692136669029745,3.526101810944435,0.2570184048143036
NGC0309-91,14.177980332328596,-9.902717062186714,48.58497286443368,5.313171986471691,0.208661445425307,2.588262856355904,0.2224982929487049,16.958466995006148,0.1663919503651291,5.483532185956445,0.1311839593320809,2.5885590989556158,0.1600748157159663,2.719640556892829,0.1832711537934733
NGC0309-92,14.1708301888144,-9.91445029013026,17.063017825096036,6.378244242716347,0.2537500762382775,0.7946272530201672,0.267261052683434,14.02995447131931,0.1700703270251973,5.572979861274501,0.1822239983437193,2.117677768369333,0.2252088786047359,1.3964660614133388,0.2480946999557107
NGC0309-93,14.182895445637977,-9.9133243841856,10.846263768694143,3.061157873189324,0.2457589044325441,0.746121196543782,0.6810052881184805,18.227756939066907,0.1969336694109693,7.498406310565567,0.1945417630970556,1.8886693343485452,0.2202059533722142,0.1730284308202765,0.1977232870311557
NGC0309-94,14.184920040980268,-9.910562077744531,14.78228005558922,-0.0184688835120473,0.5155494118483039,0.74666142954696,0.4938311449722133,16.164231451559914,0.4414232036620509,3.5901883540640003,0.4308968265271687,1.5070170277967685,0.465026711224885,4.011282552949127,0.4713229541603898
NGC0309-95,14.185608409677217,-9.91410550417506,17.414317019300714,2.8983018892137657,0.3466066542417984,0.9147902543696946,0.5148076689451094,9.51155783664921,0.2625539062457835,3.495858586950421,0.2479781637250383,0.1461669577521115,0.3213963120571811,0.4259309407164058,0.773744279542988
NGC0309-96,14.182661359011322,-9.916522172628524,11.717123512514489,0.9148412815239876,0.2768374744453629,-0.0966328399485195,0.2818981815295288,12.407529917975715,0.2647652866676713,6.031462442856888,0.2384299031370657,1.171884504487574,0.2920470303738013,1.1646199100671994,0.2747443027772467
NGC0309-97,14.17519653171802,-9.915677960513191,8.330807467769016,3.185978073628024,0.3146877593481308,0.8189173789051979,0.2546319495992848,12.51404716125591,0.1841476841530744,4.332144072567557,0.2184549961509093,0.0831026073547103,0.1980622115724284,-0.3933886335919291,0.2822943012613246
